"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","mana","moves","armor class","strength","dexterity","intelligence","wisdom","constitution","Bit affects",","Other"
"","eye stalk beholder",25,12255,12489,"on the beholder","-------g--------------",110,3400,"wood","(hold)","staff",20,2,"energy drain","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","jerkin scale mail",5,3072,12495,"on Caris","----------------------",140,850,"steel","(torso)","armor","9/10/10/0",0,"","+7hp",0,0,7,0,0,0,0,0,0,0,0,"",,""
"","coif scale mail",5,3073,12495,"on Caris","----------------------",40,600,"steel","(head)","armor","7/8/8/0",0,"","+2hp",0,0,2,0,0,0,0,0,0,0,0,"",,""
"","skirt scale mail",5,3074,12495,"on Caris","----------------------",80,600,"steel","(legs)","armor","3/9/9/0",0,"","+2hp",0,0,2,0,0,0,0,0,0,0,0,"",,""
"","sleeves scale mail",5,3077,12495,"on Caris","----------------------",60,420,"steel","(arms)","armor","3/4/4/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","leggings silver",25,633,12495,"on Antryg","-E--M-----------------",200,2900,"silver","(legs)","armor","8/8/8/2",0,"","+5man,+1int",0,0,0,5,0,0,0,0,1,0,0,"",,""
"","bottle ale",0,3002,12497,"on the barkeep","--------------------#-",20,6,"glass","(take)","drink container",0,16,"ale","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","pin",20,12268,12500,"on the jinxkin","---V------------------",20,4666,"steel","(wield)","weapon(stab)","5d6",0,"sharp","+2hit,+1dam,-15hp,-3str",2,1,-15,0,0,0,-3,0,0,0,0,"",,""
"","muck branch",18,12269,12502,"on the jermlaine","--N--D--h-------------",150,300,"hardwood","(wield)","weapon(pound)","5d5",0,"none","-5hit,+2dam,-2dex",-5,2,0,0,0,0,0,-2,0,0,0,"",,""
"","shield",40,12276,12532,"on Itreres","------R-h---b---------",300,18450,"steel","(shield)","armor","11/11/11/1",0,"","-15arm",0,0,0,0,0,-15,0,0,0,0,0,"",,""
"","stone mace",35,12275,12533,"on the stone golem","--------h-------------",240,13542,"stone","(wield)","weapon(pound)","5d8",0,"none","+2hit,+3dam,+1str",2,3,0,0,0,0,1,0,0,0,0,"",,""
"","eyes",36,12273,12535,"on the mage","-----DRgh-------------",100,12652,"meat","(head)","armor","10/10/10/0",0,"","-3wis",0,0,0,0,0,0,0,0,0,-3,0,"",,""
"","horn",38,12278,12539,"on the babau","G------g--------------",120,15400,"bone","(wield)","weapon(pierce)","5d9",0,"none","+1hit,+4dam,-10arm",1,4,0,0,0,-10,0,0,0,0,0,"",,""
"","iron sword",38,12274,12540,"on the iron golem","--------h-------------",150,18200,"silver","(wield)","weapon(slash)","5d9",0,"none","+2hit,+4dam,+10hp,+2str",2,4,10,0,0,0,2,0,0,0,0,"",,""
"","stone",37,12277,12544,"on the imp","--NVM-R--d------------",10,12000,"stone","(float)","armor","0/0/0/0",0,"","-5hit,-5dam,-150mov,-3str,-3con",-5,-5,0,0,-150,0,-3,0,0,0,-3,"",,""
"","wand",25,12271,12548,"on the bodak","--------h-------------",120,8569,"granite","(hold)","wand",30,10,"remove curse","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","girth",41,12272,12548,"on the bodak","----M-Rg--------------",300,19999,"metal","(waist)","armor","11/11/11/1",0,"","+10hp,-10arm",0,0,10,0,0,-10,0,0,0,0,0,"",,""
"","gold teeth",16,12282,12550,"on the pimp","------------b---------",70,3405,"gold","(head)","armor","6/6/6/0",0,"","+2dam,-1str",0,2,0,0,0,0,-1,0,0,0,0,"",,""
"","noble ring",12,12281,12551,"on a preferred customer","------------b---------",20,1099,"gold","(finger)","armor","6/6/6/0",0,"","+1dam,+5hp,-2int",0,1,5,0,0,0,0,0,-2,0,0,"",,""
"","translucent robe",11,12279,12552,"on a maid of passion","------------b---------",10,899,"air","(body)","armor","5/5/5/0",0,"","+10hp,+1con",0,0,10,0,0,0,0,0,0,0,1,"pass_door",,""
"","belt",9,12280,12554,"on a granter of pleasure","------------b---------",120,999,"leather","(waist)","armor","4/4/4/0",0,"","+1dex",0,0,0,0,0,0,0,1,0,0,0,"",,""
"","bracer strength",30,12287,12558,"on Jarre","----M---h-------------",120,8699,"steel","(waist)","armor","10/10/10/1",0,"","+4str",0,0,0,0,0,0,4,0,0,0,0,"",,""
"","broken bottle",9,12283,12560,"on the half-orc","---------d------------",20,462,"glass","(wield)","weapon(scratch)","4d5",0,"none","+2dam,-1dex",0,2,0,0,0,0,0,-1,0,0,0,"",,""
"","dusty boots",31,12284,12560,"on Limbeck","------R--d------------",80,8699,"leather","(feet)","armor","9/9/9/1",0,"","-3dam,-50mov,-3dex",0,-3,0,0,-50,0,0,-3,0,0,0,"",,""
"","boots of flying",29,12286,12562,"on Drevlin","---VM-R---------------",250,9850,"leather","(feet)","armor","9/9/9/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","gnome hat",28,12285,12568,"on Geg","--------h-------------",20,8669,"cloth","(head)","armor","9/9/9/0",0,"","+2hit,+2dex",2,0,0,0,0,0,0,2,0,0,0,"",,""
"","eye justice",25,12254,12589,"on the huge beholder","-------g--------------",120,3400,"wood","(hold)","staff",20,2,"lightning bolt","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","eye slime",25,12253,12595,"on the great enforcing eye","----M-----------------",50,10000,"glass","(take)","potion",23,0,"pass door,energy containment,enhanced strength,fly","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","glowing sphere",10,12293,12601,"on Snaromba","-------g--------------",1,3000,"air","(take)","light",0,999,"(limited)","+20man",0,0,0,20,0,0,0,0,0,0,0,"",,""
"","blue bracer",13,12294,12601,"on Anmictes","--------h-------------",80,1780,"steel","(wrist)","armor","6/6/6/0",0,"","+1dex",0,0,0,0,0,0,0,1,0,0,0,"",,""
"","ebony morning star",15,12295,12601,"on warrior Emba","--------h-------------",40,3400,"ebony","(wield)","weapon(blast)","5d5",0,"none","+2hit,+2dam,+1con",2,2,0,0,0,0,0,0,0,0,1,"",,""
"","drow chainmail",14,12296,12601,"on Shillikif","--------h-------------",150,2150,"obsidian","(torso)","armor","6/6/6/0",0,"","+4hp,+1dex",0,0,4,0,0,0,0,1,0,0,0,"",,""
"","cloak",26,12290,12603,"on drow adventurer Prax","-------g--------------",20,7503,"vevet","(neck)","armor","8/8/8/1",0,"","+25man",0,0,0,25,0,0,0,0,0,0,0,"",,""
"","jagged long sword",24,12291,12603,"on Thespan","--------h-------------",140,6728,"metal","(wield)","weapon(pierce)","5d6",0,"none","+4hit,-10arm",4,0,0,0,0,-10,0,0,0,0,0,"",,""
"","ebony dagger",24,12292,12603,"on Endolar","--------h-------------",30,7333,"ebony","(wield)","weapon(stab)","5d5",0,"none","+3hit,+3dam,-10arm",3,3,0,0,0,-10,0,0,0,0,0,"",,""
"","scroll reveal",10,12309,12606,"on drow Yie'Stei","--------------------#-",10,340,"paper","(take)","scroll",15,0,"faerie fog","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","hand shocking grasp",15,12310,12606,"on drow Yie'Stei","----M--gh-----------#-",20,5300,"meat","(hold)","wand",55,4,"shocking grasp","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","potion levitation",5,12311,12606,"on drow Yie'Stei","--------------------#-",20,500,"glass","(hold)","potion",30,0,"fly","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","drow sword",10,12297,12607,"on drow Zae'tres","----M---------------#-",120,4185,"metal","(wield)","weapon(slash)","5d5",0,"none","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","drow dagger",10,12298,12607,"on drow Zae'tres","----M---------------#-",30,4630,"steel","(wield)","weapon(peck)","5d5",0,"none","+2hit,+1dam",2,1,0,0,0,0,0,0,0,0,0,"",,""
"","drow mace",10,12299,12607,"on drow Zae'tres","----M---------------#-",150,3040,"wood","(wield)","weapon(bite)","5d5",0,"none","+1hit,+2dam",1,2,0,0,0,0,0,0,0,0,0,"",,""
"","duergar breastplate",10,12300,12608,"on duergar Raesarnt","----M---------------#-",300,5684,"steel","(torso)","armor","7/7/7/1",0,"","-5arm",0,0,0,0,0,-5,0,0,0,0,0,"",,""
"","duergar helm",10,12301,12608,"on duergar Raesarnt","----M---------------#-",250,6590,"steel","(head)","armor","7/7/7/1",0,"","-3arm",0,0,0,0,0,-3,0,0,0,0,0,"",,""
"","duergar shield",10,12302,12608,"on duergar Raesarnt","----M---------------#-",320,8904,"steel","(shield)","armor","7/7/7/1",0,"","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","duergar leggings",10,12303,12608,"on duergar Raesarnt","----M---------------#-",225,7650,"steel","(legs)","armor","7/7/7/1",0,"","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","duergar bracer",10,12304,12608,"on duergar Raesarnt","----M---------------#-",150,7744,"steel","(wrist)","armor","7/7/7/1",0,"","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","brown mushroom",0,12305,12610,"on Jiestis","------------b-------#-",10,90,"food","(take)","food",12,12,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","large mushroom",0,12306,12610,"on Jiestis","------------b-------#-",10,130,"food","(take)","food",25,25,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","red moss",5,12307,12610,"on Jiestis","------------b-------#-",10,2150,"wood","(take)","pill",12,0,"cure critical,cure critical,giant strength,haste","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","dirty root",5,12308,12610,"on Jiestis","------------b-------#-",20,2200,"wood","(take)","pill",15,0,"armor,stone skin,shield","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","svirfneblin leggings",15,12312,12614,"on the svirfneblin","----M-----------------",205,3207,"leather","(legs)","armor","6/6/6/1",0,"","-5arm,+1str",0,0,0,0,0,-5,1,0,0,0,0,"",,""
"","necklace nobility",14,12313,12616,"on the svirfneblin dignitary","----M-----------------",75,2300,"gold","(neck)","armor","6/6/6/1",0,"","-4arm,+1str,-1int,-1wis,+1con",0,0,0,0,0,-4,1,0,-1,-1,1,"",,""
"","broadsword vision",15,12314,12618,"on the caretaker","-------gh-------------",190,3560,"mithril","(wield)","weapon(blast)","5d5",0,"sharp","+2hit,+2dam,+10hp,+1str",2,2,10,0,0,0,1,0,0,0,0,"",,""
"","lucky dice",19,12318,12620,"on the sharper","----M-----------------",25,2700,"bone","(float)","armor","7/7/7/1",0,"","+1hit,+20hp",1,0,20,0,0,0,0,0,0,0,0,"",,""
"","dark cloak",21,12319,12628,"on the magsman","----M----d------------",35,3299,"velvet","(neck)","armor","7/7/7/1",0,"","+3hit,-4arm,+2dex",3,0,0,0,0,-4,0,2,0,0,0,"",,""
"","golden earring",23,12320,12633,"on the master thief","----M-----------------",30,3670,"gold","(head)","armor","7/7/8/1",0,"","+10hp,+1dex,+1int",0,0,10,0,0,0,0,1,1,0,0,"",,""
"","jewelled dagger amargadeon",45,12321,12635,"on the head thief","----M---h-------------",60,25400,"silver","(wield)","weapon(stab)","5d11",0,"sharp","+8hit,+2dam,-5arm,+2dex",8,2,0,0,0,-5,0,2,0,0,0,"",,""
"","hand",38,12322,12640,"on mage Meliadus","----M--g--------------",20,14380,"fire","(take)","light",0,999,"(limited)","+1dam,+50man",0,1,0,50,0,0,0,0,0,0,0,"",,""
"","robe",38,12323,12640,"on mage Meliadus","----M-----------------",50,17560,"velvet","(body)","armor","11/11/11/1",0,"","+50man,+2int",0,0,0,50,0,0,0,0,2,0,0,"",,""
"","choke wire",23,12327,12650,"on the assassin","--------hd------------",100,3900,"steel","(wield)","weapon(magic)","5d6",0,"none","-5hit,+4dam",-5,4,0,0,0,0,0,0,0,0,0,"",,""
"","flaming dagger tattoo",27,12329,12655,"on the senior assassin","----M-----------------",0,20,"air","(wrist)","armor","8/8/8/1",0,"","+2dam",0,2,0,0,0,0,0,0,0,0,0,"",,""
"","wyvern tattoo",29,12330,12659,"on the prime assassin","----M-----------------",0,30,"air","(wrist)","armor","9/9/9/1",0,"","+1hit,+2dam",1,2,0,0,0,0,0,0,0,0,0,"",,""
"","dragon tattoo",43,12331,12662,"on the guildmaster","----M-----------------",0,40,"air","(arms)","armor","12/12/12/1",0,"","+4dam",0,4,0,0,0,0,0,0,0,0,0,"",,""
"","assassin's mask",25,12328,12663,"on the expert assassin","----M----d------------",20,4599,"velvet","(head)","armor","7/8/8/1",0,"","+20hp,+1str,-1con",0,0,20,0,0,0,1,0,0,0,-1,"",,""
"","diamond helm",45,12332,12679,"on the platinum golem","----M-----------------",150,21577,"diamond","(head)","armor","12/12/12/2",0,"","+2dam,+25hp",0,2,25,0,0,0,0,0,0,0,0,"",,""
"","keeper's shield",45,12333,12689,"on the Keeper","----M-----------------",250,22459,"steel","(shield)","armor","12/12/12/2",0,"","+35hp,-10arm",0,0,35,0,0,-10,0,0,0,0,0,"",,""
"","demon blade",21,12336,12706,"on a demon clan fighter","G---M---h--v----------",190,3219,"obsidian","(wield)","weapon(slash)","5d5",0,"vampiric","+3hit,+3dam,-5arm",3,3,0,0,0,-5,0,0,0,0,0,"",,""
"","clan ring signet",15,12334,12708,"on the demon clan member","----M--gh--v----------",10,1903,"stone","(finger)","armor","6/6/6/1",0,"","+1hit,+15hp,+10man",1,0,15,10,0,0,0,0,0,0,0,"",,""
"","demon bracer",17,12335,12709,"on a demon clan mage","----M--gh--v----------",30,2300,"bronze","(wrist)","armor","7/7/7/1",0,"","+15man",0,0,0,15,0,0,0,0,0,0,0,"",,""
"","demon plate",30,12338,12710,"on the cambion","G---M---h--v----------",300,13666,"stone","(torso)","armor","9/9/9/1",0,"","+1dam,-5arm",0,1,0,0,0,-5,0,0,0,0,0,"",,""
"","gem gate",25,12337,12712,"on the demon summoner","----M--g---v----------",120,12880,"stone","(hold)","wand",35,5,"teleport","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","demon fire",33,12339,12728,"on Irmugar","----M---h--v----------",0,10,"fire","(shield)","armor","10/9/9/1",0,"","+4dam,-8arm",0,4,0,0,0,-8,0,0,0,0,0,"",,""
"","sword Malgad",85,3169,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E--M--g--------------",81,7000,"gold","(wield)","weapon(slice)","9d9",0,"shocking","+7hit,+7dam",7,7,0,0,0,0,0,0,0,0,0,"",,""
"","helm horns golden",60,3172,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E--M--g--------------",61,7000,"gold","(head)","armor","22/22/22/21",0,"","+4hit,+4dam,-10man,+3str,-2dex",4,4,0,-10,0,0,3,-2,0,0,0,"",,""
"","golden breastplate",60,3171,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E-----g--------------",61,7000,"unknown","(torso)","armor","22/22/22/21",0,"","+4hit,+4dam,-10hp,-2str,+3dex",4,4,-10,0,0,0,-2,3,0,0,0,"",,""
"","golden boots",60,3170,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E-----g--------------",61,7000,"gold","(feet)","armor","22/22/22/21",0,"","+4hit,+4dam,+10hp,-1dex,+3wis",4,4,10,0,0,0,0,-1,0,3,0,"res(magic)",,""
"","banner war merc",8,3365,2933,"on sanarian cityguard","----M--g--------------",10,640,"cloth","(take)","light",0,500,"(limited)","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","bracer standard merc",3,3363,2933,"on sanarian cityguard","----------------------",10,390,"bronze","(wrist)","armor","2/4/4/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sword standard merc",16,3350,2933,"on sanarian cityguard","----M-----------------",50,1280,"steel","(wield)","weapon(slash)","3d10",0,"none","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","vest standard merc",5,3353,2933,"on sanarian cityguard","----------------------",50,900,"leather","(torso)","armor","4/4/3/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","belt standard merc",5,3362,2933,"on sanarian cityguard","----------------------",20,450,"bronze","(waist)","armor","4/4/3/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","cape standard merc",3,3361,2933,"on sanarian cityguard","----------------------",20,380,"cloth","(body)","armor","3/4/3/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","elite cityguard issue sword",50,3307,2933,"on an elite city guard","----------------------",51,3005,"unknown","(wield)","weapon(slice)","7d9",0,"sharp","+4hit,+4dam,-2arm",4,4,0,0,0,-2,0,0,0,0,0,"",,""
"","ring signet",16,3364,2960,"on sanarian cityguard","----M-----------------",10,1280,"copper","(finger)","treasure",0,0,"","-4arm",0,0,0,0,0,-4,0,0,0,0,0,"",,""
"","club",42,3005,3005,"on Greorg","--------h---b---------",450,5600,"adamantite","(wield)","weapon(crush)","5d10",0,"two-handed","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","potpie pot pie",0,3009,3009,"on Bradley","--------------------#-",20,22,"food","(take)","food",20,40,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","bread",0,3011,3009,"on Bradley","--------------------#-",10,9,"food","(take)","food",18,12,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","cinnamon roll",0,3012,3009,"on Bradley","--------------------#-",10,16,"food","(take)","food",4,8,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","cookies",0,3013,3009,"on Bradley","--------------------#-",10,11,"food","(take)","food",8,10,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","danish blueberry",0,3014,3009,"on Bradley","--------------------#-",10,5,"food","(take)","food",8,6,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","torch",0,3030,3010,"on the grocer","--------------------#-",30,4,"wood","(take)","light",0,50,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","lantern",0,3031,3010,"on the grocer","--------------------#-",40,75,"brass","(take)","light",0,250,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","skin water buffalo",0,3138,3010,"on the grocer","--------------------#-",40,24,"leather","(take)","drink container",0,64,"water","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","bag",0,3032,3010,"on the grocer","--------------------#-",10,9,"leather","(take)","container",0,"50lbs, 5 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","box",0,3033,3010,"on the grocer","--------------------#-",10,30,"wood","(take)","container",0,"10lbs, 5 max (100% bulk),"close ","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sword long",10,3022,3010,"on the grocer","--------------------#-",50,1800,"steel","(wield)","weapon(slash)","4d9",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","bota",0,3238,3010,"on the grocer","--------------------#-",40,1000,"leather","(take)","drink container",0,1000,"water","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","dagger",10,3020,3011,"on Andor the weaponsmith","--------------------#-",10,600,"steel","(wield)","weapon(stab)","3d8",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sword small",10,3021,3011,"on Andor the weaponsmith","--------------------#-",30,1200,"steel","(wield)","weapon(slice)","3d9",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","mace heavy",10,3024,3011,"on Andor the weaponsmith","--------------------#-",100,390,"iron","(wield)","weapon(pound)","2d6",0,"none","+1dam",0,1,0,0,0,0,0,0,0,0,0,"",,""
"","staff",10,3028,3011,"on Andor the weaponsmith","--------------------#-",40,800,"wood","(wield)","weapon(pound)","4d7",0,"two-handed","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","flail",10,3029,3011,"on Andor the weaponsmith","--------------------#-",50,1800,"iron","(wield)","weapon(pound)","5d8",0,"none","+1arm",0,0,0,0,0,1,0,0,0,0,0,"",,""
"","Hammer",10,48,3011,"on Andor the weaponsmith","--------------------#-",1,40000,"unknown","(hold)","weapon(none)","3d3",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","leggings standard merc",5,3357,3017,"on the cityguard","----------------------",30,450,"leather","(legs)","armor","4/4/3/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","jerkin scale mail",10,3072,3020,"on Ergon","--------------------#-",140,850,"steel","(torso)","armor","9/10/10/0",0,"","+7hp",0,0,7,0,0,0,0,0,0,0,0,"",,""
"","coif scale mail",10,3073,3020,"on Ergon","--------------------#-",40,600,"steel","(head)","armor","7/8/8/0",0,"","+2hp",0,0,2,0,0,0,0,0,0,0,0,"",,""
"","skirt scale mail",10,3074,3020,"on Ergon","--------------------#-",80,600,"steel","(legs)","armor","3/9/9/0",0,"","+2hp",0,0,2,0,0,0,0,0,0,0,0,"",,""
"","boots reinforced",10,3075,3020,"on Ergon","--------------------#-",40,420,"leather","(feet)","armor","3/4/4/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","gloves reinforced",10,3076,3020,"on Ergon","--------------------#-",20,420,"leather","(hands)","armor","3/4/4/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sleeves scale mail",10,3077,3020,"on Ergon","--------------------#-",60,420,"steel","(arms)","armor","3/4/4/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","shirt chain mail",10,3110,3020,"on Ergon","--------------------#-",180,1500,"steel","(torso)","armor","11/10/11/0",0,"","+8hp",0,0,8,0,0,0,0,0,0,0,0,"",,""
"","coif chain mail",10,3111,3020,"on Ergon","--------------------#-",50,1000,"steel","(head)","armor","8/9/9/0",0,"","+3hp",0,0,3,0,0,0,0,0,0,0,0,"",,""
"","skirt chain mail",10,3112,3020,"on Ergon","--------------------#-",100,1000,"steel","(legs)","armor","8/9/9/0",0,"","+3hp",0,0,3,0,0,0,0,0,0,0,0,"",,""
"","boots ironbound",10,3113,3020,"on Ergon","--------------------#-",60,660,"iron","(feet)","armor","5/4/5/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","gauntlets chain mail",10,3114,3020,"on Ergon","--------------------#-",40,1000,"steel","(hands)","armor","9/8/9/0",0,"","+3hp",0,0,3,0,0,0,0,0,0,0,0,"",,""
"","sleeves chain mail",10,3115,3020,"on Ergon","--------------------#-",80,660,"steel","(arms)","armor","5/4/5/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","shield large metal",10,3116,3020,"on Ergon","--------------------#-",140,1190,"steel","(shield)","armor","5/5/5/2",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","shield small metal",10,3097,3020,"on Ergon","--------------------#-",60,750,"steel","(shield)","armor","4/4/4/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","shield small wooden",10,3117,3020,"on Ergon","--------------------#-",40,510,"wood","(shield)","armor","4/3/2/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
